"GENNME","Active_Ingredients"
"Aspirin","Acetylsalicylic Acid"
"Bisacodyl","Bisacodyl"
"Calcium Citrate","Calcium"
"Calcium Carbonate/Vitamin D","Calcium;Vitamin D"
"Carbamide Peroxide","Carbamide Peroxide"
"Chlorhexidine Gluconate","Chlorhexidine"
"Docusate Sodium","Docusate"
"Ferrous Gluconate","Ferrous"
"Ferrous Sulfate","Ferrous"
"Fish Oil","Fish Oil"
"Insulin Human Isophane (NPH)","Insulin Human Isophane"
"Insulin Human Regular","Insulin Human Regular"
"Insulin Human Isophane (NPH)/Insulin Human Regular","Insulin Human Isophane;Insulin Human Regular"
"Lotion, Multi Ingredient","Lotion Base"
"Magnesium Oxide","Magnesium Oxide"
"Oxymetazoline Hydrochloride","Oxymetazoline"
"Iron Polysaccharide","Iron"
"Simethicone","Simethicone"
"Na Phos, Dibasic/Na Phos, Monobasic","Phosphate"
"Tolnaftate","Tolnaftate"
"Vitamin E","Vitamin E"
"Zinc Gluconate","Zinc"
"Zinc Oxide","Zinc Oxide"
"Cream, Multi Ingredient","Cream Base"
"Saliva Substitutes","Saliva Substitute"
"Vitamin D","Vitamin D"
"Bismuth Tribromophenate","Bismuth Tribromophenate"
"Terazosin Hydrochloride","Terazosin"
"Cadexomer Iodine","Cadexomer Iodine"
"Acetaminophen/Diphenhydramine Hydrochloride","Acetaminophen;Diphenhydramine"
"Bacitracin Zinc","Bacitracin"
"Conjugated Estrogens/Medroxyprogesterone Acetate","Conjugated Estrogens;Medroxyprogesterone"
"Phentolamine Mesylate","Phentolamine"
"Tetracaine Hydrochloride","Tetracaine"
"Divalproex Sodium","Valproic Acid"
"Beclomethasone Dipropionate Monohydrate","Beclomethasone"
"Ciprofloxacin","Ciprofloxacin"
"Tramadol Hydrochloride","Tramadol"
"Ethinyl Estradiol/Norethindrone Acetate","Ethinyl Estradiol;Norethindrone"
"Ethinyl Estradiol/Norethin Ace","Ethinyl Estradiol;Norethindrone"
"Metformin Hydrochloride","Metformin"
"Nitrofurantoin Monohydrate/Nitrofurantoin, Macro","Nitrofurantoin"
"Granisetron Hydrochloride","Granisetron"
"Atovaquone","Atovaquone"
"Losartan Potassium","Losartan"
"Hydrochlorothiazide/Losartan Potassium","Hydrochlorothiazide;Losartan"
"Moexipril Hydrochloride","Moexiprilat"
"Dorzolamide Hydrochloride","Dorzolamide"
"Lansoprazole","Lansoprazole"
"Aminobenzoate Potassium","Aminobenzoate"
"Timolol","Timolol"
"Mycophenolate Mofetil","Mycophenolic Acid"
"Leuprolide Acetate","Leuprolide"
"Amlodipine Besylate/Benazepril Hydrochloride","Amlodipine;Benazepril"
"Alprostadil","Alprostadil"
"Carbidopa","Carbidopa"
"Methenamine Mandelate","Methenamine"
"Multimineral/Multivitamin","Multimineral;Multivitamin"
"Coenzyme Q10","Coenzyme Q10"
"Valacyclovir Hydrochloride","Acyclovir"
"Alendronate Sodium","Alendronate"
"Rimexolone","Rimexolone"
"Bicalutamide","Bicalutamide"
"Lamivudine","Lamivudine"
"Acarbose","Acarbose"
"Penicillamine","Penicillamine"
"Lactulose","Lactulose"
"Miconazole","Miconazole"
"Melatonin","Melatonin"
"Hydrocodone Bitartrate","Hydrocodone"
"Silver Nitrate","Silver"
"Azelaic Acid","Azelaic Acid"
"Cetirizine Hydrochloride","Cetirizine"
"Somatropin, E-Coli Derived","Somatropin"
"Ceftibuten","Ceftibuten"
"Zinc","Zinc"
"Riluzole","Riluzole"
"Anastrozole","Anastrozole"
"Glimepiride","Glimepiride"
"Ritonavir","Ritonavir"
"Chenodiol","Chenodiol"
"Mupirocin Calcium","Mupirocin"
"Trandolapril","Trandolapril"
"Fluocinolone Acetonide/Neomycin Sulfate","Fluocinolone;Neomycin"
"Streptomycin Sulfate","Streptomycin"
"Interferon Beta-1A","Interferon Beta-1a"
"Cholecalciferol","Cholecalciferol"
"Sodium Phenylbutyrate","Phenylbutyrate"
"Adapalene","Adapalene"
"Sennosides A and B","Sennosides A;Sennosides B"
"Potassium Citrate","Potassium Citrate"
"PEG/K Cl/Na Bicarb/Na Cl/Na Sulf","Polyethylene Glycol;Potassium Chloride;Sodium;Sulfate"
"Mirtazapine","Mirtazapine"
"Latanoprost","Latanoprost"
"Insulin Lispro, Recombinant","Insulin Lispro"
"Nevirapine","Nevirapine"
"Cefepime Hydrochloride","Cefepime"
"Clobazam","Clobazam"
"Pentosan Polysulfate Sodium","Pentosan Polysulfate"
"Tinidazole","Tinidazole"
"Meropenem","Meropenem"
"Brimonidine Tartrate","Brimonidine"
"Zafirlukast","Zafirlukast"
"Olanzapine","Olanzapine"
"Zidovudine","Zidovudine"
"Albendazole","Albendazole"
"Midodrine Hydrochloride","Midodrine"
"Acitretin","Acitretin"
"Cabergoline","Cabergoline"
"Amphotericin B Lipid Complex","Amphotericin B"
"Dextromethorphan Polistirex","Dextromethorphan"
"Ketamine Hydrochloride","Ketamine"
"Penciclovir","Penciclovir"
"Donepezil Hydrochloride","Donepezil"
"Trandolapril/Verapamil Hydrochloride","Trandolapril;Verapamil"
"Thioctic Acid","Alpha-Lipoic Acid"
"Butenafine Hydrochloride","Butenafine"
"Levofloxacin","Levofloxacin"
"Topiramate","Topiramate"
"Zileuton","Zileuton"
"Azelastine Hydrochloride","Azelastine"
"Tizanidine Hydrochloride","Tizanidine"
"Atorvastatin Calcium","Atorvastatin"
"Olopatadine Hydrochloride","Olopatadine"
"Fosfomycin Tromethamine","Fosfomycin"
"Hydrocortisone Probutate","Hydrocortisone"
"Anagrelide Hydrochloride","Anagrelide"
"Carvedilol","Carvedilol"
"Alpha-1 Proteinase Inhibitor Human","Alpha-1 Proteinase Inhibitor"
"Tazarotene","Tazarotene"
"Pramipexole Dihydrochloride","Pramipexole"
"Heparin Sodium/Sodium Chloride","Heparin;Sodium"
"Tamsulosin Hydrochloride","Tamsulosin"
"Letrozole","Letrozole"
"Hydrochlorothiazide/Moexipril Hydrochloride","Hydrochlorothiazide;Moexiprilat"
"Sumatriptan","Sumatriptan"
"Hydrocodone Bitartrate/Ibuprofen","Hydrocodone;Ibuprofen"
"Ropinirole Hydrochloride","Ropinirole"
"Lamivudine/Zidovudine","Lamivudine;Zidovudine"
"Quetiapine Fumarate","Quetiapine"
"Barium Sulfate","Barium Sulfate"
"Irbesartan","Irbesartan"
"HYDROcodone bitartrate/PSE HCl","Hydrocodone;Pseudoephedrine"
"Scopolamine","Scopolamine"
"Rituximab","Rituximab"
"Salmeterol Xinafoate","Salmeterol"
"Toremifene Citrate","Toremifene"
"Raloxifene Hydrochloride","Raloxifene"
"Fexofenadine HCl/PSE HCl","Fexofenadine;Pseudoephedrine"
"Camphor/Menthol","Camphor;Menthol"
"Zolmitriptan","Zolmitriptan"
"Beclomethasone Dipropionate","Beclomethasone"
"Tiagabine Hydrochloride","Tiagabine"
"Becaplermin","Becaplermin"
"Clopidogrel Hydrogen Sulfate","Clopidogrel"
"Naratriptan Hydrochloride","Naratriptan"
"Montelukast Sodium","Montelukast"
"Ca Cl/K Cl/Na Cl/Na Lact","Calcium;Potassium;Sodium;Lactate"
"Gramicidin/Neomycin Sulfate/Polymyxin B Sulfate","Gramicidin;Neomycin;Polymyxin B"
"Paregoric","Opium"
"Potassium Nitrate/Silver Nitrate","Potassium Nitrate;Silver"
"Atropine Sulf/Hyoscyamine Sulf/PHENobarbital/Scop","Atropine;Hyoscyamine;Phenobarbital;Scopolamine"
"K Phos/Na Phos, Dibasic/Na Phos, Monobasic","Potassium Phosphate;Phosphate"
"APAP/Butalbital/Caff/Codeine Phos","Acetaminophen;Butalbital;Caffeine;Codeine"
"Aspirin/Butalbital/Caffeine/Codeine Phosphate","Acetylsalicylic Acid;Butalbital;Caffeine;Codeine"
"Repaglinide","Repaglinide"
"Diphtheria Toxoid, Adsorbed/Tetanus Toxoid","Diphtheria Toxoid;Tetanus Toxoid"
"Vit C/Ca Pantothenate/Vit B12/Folic Acid/Mg Sulf/M","Ascorbic Acid;Calcium Pantothenate;Cyanocobalamin;Folic Acid;Magnesium"
"Benzoin Compound/Podophyllum","Benzoin;Podophyllum Resin"
"Vit C/Biotin/Ca Pantothenate/Vit B12/Folic Acid/Vi","Ascorbic Acid;Biotin;Calcium Pantothenate;Cyanocobalamin;Folic Acid"
"Typhoid Vi Polysaccharide Vaccine","Typhoid Vi Polysaccharide"
"Hepatitis A Vaccine, Inactivated","Inactivated Hepatitis A Virus"
"Varicella Virus Vaccine","Live Attenuated Varicella Virus"
"Vit C/Vit B12/Ferrous Fum/Folic Acid/IF","Ascorbic Acid;Cyanocobalamin;Ferrous;Folic Acid;Intrinsic Factor"
"Colistin Sulf/HC Ace/Neomycin Sulf/Thonzonium Brom","Colistin;Hydrocortisone;Neomycin;Thonzonium Bromide"
"Hydrochlorothiazide/Valsartan","Hydrochlorothiazide;Valsartan"
"Ethyl Chloride","Ethyl Chloride"
"Dexpanthenol/Niacinamide/Vit B6/Vit B2/Vit B1","Dexpanthenol;Niacinamide;Pyridoxine;Riboflavin;Thiamine"
"Prenatal Vitamins","Prenatal Multivitamins"
"Tolterodine Tartrate","Tolterodine"
"Loteprednol Etabonate","Loteprednol"
"Sildenafil Citrate","Sildenafil"
"Fenofibrate","Fenofibrate"
"Vit C/Vit B12/Folic Acid/Vitamin B3/Vit B6/Vit B2/","Ascorbic Acid;Cyanocobalamin;Folic Acid;Niacin;Pyridoxine;Riboflavin"
"Vit C/Vit B12/Ferrous Fum/Folic Acid","Ascorbic Acid;Cyanocobalamin;Ferrous;Folic Acid"
"Brinzolamide","Brinzolamide"
"Dorzolamide Hydrochloride/Timolol Maleate","Dorzolamide;Timolol"
"Capecitabine","Capecitabine"
"Ciprofloxacin Hydrochloride/Hydrocortisone","Ciprofloxacin;Hydrocortisone"
"Citric Acid/Potassium Citrate/Sodium Citrate","Citric Acid;Potassium Citrate;Citrate"
"Dalteparin Sodium","Dalteparin"
"Rizatriptan Benzoate","Rizatriptan"
"Cefdinir","Cefdinir"
"Citalopram Hydrobromide","Citalopram"
"Sacrosidase","Sacrosidase"
"Diclofenac Sodium/Misoprostol","Diclofenac;Misoprostol"
"Risedronate Sodium","Risedronate"
"Thalidomide","Thalidomide"
"Haemophilus B Conjugate Vaccine","Haemophilus Influenzae Type B Conjugate"
"Leflunomide","Leflunomide"
"Infliximab","Infliximab"
"Estradiol/Norethindrone Acetate","Estradiol;Norethindrone"
"Candesartan Cilexetil","Candesartan"
"Efavirenz","Efavirenz"
"Aluminum Hydroxide/Magnesium Hydroxide/Simethicone","Aluminum;Magnesium Hydroxide;Simethicone"
"Prednicarbate","Prednicarbate"
"Budesonide","Budesonide"
"Ivermectin","Ivermectin"
"Vit C/Ca/Vit B12/Folic Acid/Fe/Vitamin B3/Vit B6/V","Ascorbic Acid;Calcium;Cobalamin;Folic Acid;Iron;Niacin;Pyridoxine"
"Etanercept","Etanercept"
"Rifapentine","Rifapentine"
"Vit C/Ca/Vit B12/Folic Acid/Iodine/Fe/Mg/Vitamin B","Ascorbic Acid;Calcium;Cobalamin;Folic Acid;Iodine;Iron;Magnesium;Vitamin B Complex"
"Bismuth Subsalicylate","Bismuth;Salicylic Acid"
"Magnesium Hydroxide","Magnesium Hydroxide"
"Telmisartan","Telmisartan"
"Abacavir Sulfate","Abacavir"
"Celecoxib","Celecoxib"
"Miglitol","Miglitol"
"Docusate Sodium/Senna","Docusate;Senna"
"Poloxamer","Poloxamer"
"Ciclopirox Olamine","Ciclopirox"
"Vit C/Vit B12/Folic Acid/Fe Pentacarbonyl","Ascorbic Acid;Cobalamin;Folic Acid;Iron"
"Ascorbic Acid/Iron Pentacarbonyl","Ascorbic Acid;Iron"
"Modafinil","Modafinil"
"Imiquimod","Imiquimod"
"Cilostazol","Cilostazol"
"Multivitamin","Multivitamin Complex"
"Hydrochlorothiazide/Irbesartan","Hydrochlorothiazide;Irbesartan"
"Orlistat","Orlistat"
"Sodium Ferric Gluconate Complex","Iron"
"Levalbuterol Hydrochloride","Levalbuterol"
"Conjugated Estrogens Synthetic A","Conjugated Estrogens"
"Coagulation Factor IX Recombinant","Coagulation Factor Ix"
"Antihemophilic Factor VIII (Recombinant)","Coagulation Factor Viii"
"Multivitamin and Minerals","Multivitamin Complex;Minerals"
"Ointment, Multi Ingredient","Multiple Active Ingredients"
"Ondansetron","Ondansetron"
"Rosiglitazone Maleate","Rosiglitazone"
"Calcium Carbonate/Folic Acid/Magnesium Carbonate","Calcium;Folic Acid;Magnesium"
"Perindopril Erbumine","Perindopril"
"Pioglitazone Hydrochloride","Pioglitazone"
"Ketotifen Fumarate","Ketotifen"
"Rabeprazole Sodium","Rabeprazole"
"Temozolomide","Temozolomide"
"Zaleplon","Zaleplon"
"Eprosartan Mesylate","Eprosartan"
"Oseltamivir Phosphate","Oseltamivir"
"Entacapone","Entacapone"
"Somatropin, Mammalian Derived","Somatropin"
"Glyburide, Micronized","Glyburide"
"Moxifloxacin Hydrochloride","Moxifloxacin"
"Exemestane","Exemestane"
"Insulin Lispro Protamine/Insulin Lispro","Insulin Lispro;Insulin Lispro"
"Acetic Acid Glacial/Oxyquinoline Sulfate","Acetic Acid;Oxyquinoline"
"Cytarabine","Cytarabine"
"Hydroxocobalamin","Cobalamin"
"Oxcarbazepine","Oxcarbazepine"
"Thyrotropin Alfa","Thyrotropin Alfa"
"Vit C/Vit B12/Vitamin B3/Vit B6/Vit B2/Na Fluoride","Ascorbic Acid;Cobalamin;Niacin;Pyridoxine;Riboflavin;Fluoride"
"Vit C/Ca Pantothenate/Cu/Vit B12/Folic Acid/Fe/Mg","Ascorbic Acid;Calcium Pantothenate;Copper;Cobalamin;Folic Acid;Iron;Magnesium"
"Vit C/Biotin/Ca Pantothenate/Vit B12/Folic Acid/Ni","Ascorbic Acid;Biotin;Calcium Pantothenate;Cobalamin;Folic Acid;Niacin"
"Alosetron Hydrochloride","Alosetron"
"Nedocromil Sodium","Nedocromil"
"Ciclopirox","Ciclopirox"
"Aspirin/Dipyridamole","Acetylsalicylic Acid;Dipyridamole"
"Fexofenadine Hydrochloride","Fexofenadine"
"Menthol/Methyl Salicylate","Menthol;Methyl Salicylate"
"Levetiracetam","Levetiracetam"
"Cevimeline Hydrochloride","Cevimeline"
"Zanamivir","Zanamivir"
"Pantoprazole Sodium","Pantoprazole"
"Hydrochlorothiazide/Quinapril Hydrochloride","Hydrochlorothiazide;Quinaprilat"
"Fosinopril Sodium/Hydrochlorothiazide","Fosinoprilat;Hydrochlorothiazide"
"Meloxicam","Meloxicam"
"Linezolid","Linezolid"
"Rivastigmine Tartrate","Rivastigmine"
"Cyanocobalamin/Folic Acid/Pyridoxine","Cobalamin;Folic Acid;Pyridoxine"
"Abacavir Sulfate/Lamivudine/Zidovudine","Abacavir;Lamivudine;Zidovudine"
"Calcium","Calcium"
"Atovaquone/Proguanil Hydrochloride","Atovaquone;Proguanil"
"Testosterone Propionate","Testosterone"
"Docusate Sodium/Sennosides A and B","Docusate;Sennosides"
"Eflornithine Hydrochloride","Eflornithine"
"Glyburide/Metformin Hydrochloride","Glyburide;Metformin"
"Zonisamide","Zonisamide"
"Sevelamer Hydrochloride","Sevelamer"
"Colesevelam Hydrochloride","Colesevelam"
"Candesartan Cilexetil/Hydrochlorothiazide","Candesartan;Hydrochlorothiazide"
"Iron","Iron"
"Didanosine","Didanosine"
"Ca Pantothenate/Niacinamide/Vit B6/Vit B2/Vit B1","Calcium Pantothenate;Niacin;Pyridoxine;Riboflavin;Thiamine"
"Magnesium Citrate","Magnesium"
"Aminolevulinic Acid","Aminolevulinic Acid"
"Isopropyl Alcohol","Isopropyl Alcohol"
"Balsalazide Disodium","Balsalazide"
"Calcium/Vitamin D","Calcium;Cholecalciferol"
"Hydrochlorothiazide/Telmisartan","Hydrochlorothiazide;Telmisartan"
"Nateglinide","Nateglinide"
"RimabotulinumtoxinB","Rimabotulinumtoxinb"
"Cetrorelix Acetate","Cetrorelix"
"Benzoyl Peroxide/Clindamycin Phosphate","Benzoyl Peroxide;Clindamycin"
"Levonorgestrel","Levonorgestrel"
"Esomeprazole Magnesium","Esomeprazole"
"Ziprasidone Hydrochloride","Ziprasidone"
"Vit C/Ca/Ca Pantothenate/Vit B12/DSS/Folic Acid/Fe","Ascorbic Acid;Calcium;Calcium Pantothenate;Cobalamin;Folic Acid;Iron"
"Nilutamide","Nilutamide"
"Travoprost","Travoprost"
"Fluticasone Propionate/Salmeterol Xinafoate","Fluticasone;Salmeterol"
"Bimatoprost","Bimatoprost"
"Galantamine Hydrobromide","Galantamine"
"Insulin Glargine, Recombinant","Insulin"
"Loratadine/Pseudoephedrine Sulfate","Loratadine;Pseudoephedrine"
"Formoterol Fumarate","Formoterol"
"Methylcobalamin","Methylvitamin B12"
"Iron Sucrose","Iron"
"Ribavirin","Ribavirin"
"Valganciclovir Hydrochloride","Ganciclovir"
"Cilastatin Sodium/Imipenem","Cilastatin;Imipenem"
"Hep A Vac, Inactivated/Hep B Vac Recombinant","Hepatitis A Vaccine;Hepatitis B Vaccine"
"Measles Virus Vaccine, Live/Mumps Virus Vaccine, L","Measles Virus Vaccine;Mumps Virus Vaccine"
"Potassium Bicarbonate","Potassium Bicarbonate"
"Vit C/Biotin/Ca/Ca Pantothenate/Cu/Vit B12/Folic A","Ascorbic Acid;Biotin;Calcium;Calcium Pantothenate;Copper;Cobalamin;Folic Acid"
"Albuterol Sulfate/Ipratropium Bromide","Albuterol;Ipratropium"
"Hylan Polymers A and B","Hylan Polymers"
"Almotriptan Malate","Almotriptan"
"Ferrous Fumarate","Iron"
"Sirolimus","Sirolimus"
"Haloperidol Decanoate","Haloperidol"
"Valsartan","Valsartan"
"Cetirizine HCl/PSE HCl","Cetirizine;Pseudoephedrine"
"Insulin Aspart, Recombinant","Insulin Aspart"
"Alteplase, Recombinant","Alteplase"
"Menthol/Zinc Oxide","Menthol;Zinc Oxide"
"Acetaminophen/Tramadol Hydrochloride","Acetaminophen;Tramadol"
"Darbepoetin Alfa","Darbepoetin Alfa"
"Tenofovir Disoproxil Fumarate","Tenofovir"
"Fluphenazine Decanoate","Fluphenazine"
"Vit C/Vit B12/Ferrous Fum/Stomach, Desiccated","Ascorbic Acid;Cobalamin;Iron;Stomach, Desiccated"
"Dexmethylphenidate Hydrochloride","Dexmethylphenidate"
"Bosentan","Bosentan"
"Castor Oil/Peru Balsam/Trypsin","Castor Oil;Peru Balsam;Trypsin"
"Amphetamine Salt Combination","Amphetamine"
"Desloratadine","Desloratadine"
"Benzoyl Peroxide/Erythromycin","Benzoyl Peroxide;Erythromycin"
"Pimecrolimus","Pimecrolimus"
"Fondaparinux Sodium","Fondaparinux"
"Vit C/Ca/Ca Pantothenate/Vit B12/Folic Acid/Fe/Vit","Ascorbic Acid;Calcium;Calcium Pantothenate;Cobalamin;Folic Acid;Iron"
"Rabies Vaccine","Rabies Vaccine"
"Poliovirus Vaccine, Inactivated","Poliovirus Vaccine"
"Ertapenem Sodium","Ertapenem"
"Trimethobenzamide Hydrochloride","Trimethobenzamide"
"Fluocinolone Acetonide/Hydroquinone/Tretinoin","Fluocinolone;Hydroquinone;Tretinoin"
"Pegfilgrastim","Pegfilgrastim"
"Olmesartan Medoxomil","Olmesartan"
"Frovatriptan Succinate","Frovatriptan"
"Urofollitropin","Urofollitropin"
"Mesna","Mesna"
"Hyoscyamine Sulf/Methenamine/Methylene Blue/Phenyl","Hyoscyamine;Methenamine;Methylene Blue;Phenyl"
"Tegaserod Maleate","Tegaserod"
"Fenofibrate, Micronized","Fenofibrate"
"Voriconazole","Voriconazole"
"Escitalopram Oxalate","Escitalopram"
"Lovastatin/Niacin","Lovastatin;Niacin"
"Sodium Oxybate","Oxybate"
"Insulin Aspart Protamine/Insulin Aspart","Insulin Aspart;Insulin Aspart"
"Adefovir Dipivoxil","Adefovir"
"Dutasteride","Dutasteride"
"Glipizide/Metformin Hydrochloride","Glipizide;Metformin"
"Hyaluronate Sodium","Hyaluronate"
"Silicone","Silicone"
"Ezetimibe","Ezetimibe"
"Brompheniramine Mal/DM Hydrobrom/Phenyleph HCl","Brompheniramine;Dextromethorphan;Phenylephrine"
"Aripiprazole","Aripiprazole"
"Ethinyl Estradiol/Levonorgestrel;Placebo","Ethinyl Estradiol;Levonorgestrel"
"Desogestrel/Ethinyl Estradiol;Placebo","Desogestrel;Ethinyl Estradiol"
"Ethinyl Estradiol/Norethindrone Ace;Ferrous Fum","Ethinyl Estradiol;Norethindrone;Ferrous"
"Ethinyl Estradiol/Ethynodiol Diacetate;Placebo","Ethinyl Estradiol;Ethynodiol"
"Mestranol/Norethindrone;Placebo","Estradiol;Norethindrone"
"Ethinyl Estradiol/Norgestrel;Placebo","Ethinyl Estradiol;Norgestrel"
"Ethinyl Estradiol/Norgestimate;Placebo","Ethinyl Estradiol;Norgestimate"
"Ethinyl Estradiol/Norethindrone;Placebo","Ethinyl Estradiol;Norethindrone"
"Ethinyl Estradiol/Norethindrone;Ethinyl Estradiol/","Ethinyl Estradiol;Norethindrone"
"Atomoxetine Hydrochloride","Atomoxetine"
"Nicotine;Nicotine;Nicotine","Nicotine"
"Teriparatide","Teriparatide"
"Vit C/Beta Carotene/Ca Carbonate/Cholecalciferol/C","Ascorbic Acid;Beta Carotene;Calcium;Cholecalciferol"
"Ciprofloxacin/Ciprofloxacin Hydrochloride","Ciprofloxacin"
"Cu Sulf/Vit B12/Ferrous Fum/Folic Acid/Mg Sulf/Man","Copper Sulfate;Cyanocobalamin;Ferrous;Folic Acid;Magnesium Sulfate"
"Eprosartan Mesylate/Hydrochlorothiazide","Eprosartan;Hydrochlorothiazide"
"Adalimumab","Adalimumab"
"Hydrocortisone Acetate/Lidocaine Hydrochloride","Hydrocortisone;Lidocaine"
"Budesonide, Micronized","Budesonide"
"Progesterone, Micronized","Progesterone"
"Testosterone, Micronized","Testosterone"
"Hydrocortisone, Micronized","Hydrocortisone"
"Eletriptan Hydrobromide","Eletriptan"
"Desogestrel/Ethinyl Estradiol;Ethinyl Estradiol;Pl","Desogestrel;Ethinyl Estradiol"
"Estradiol, Micronized","Estradiol"
"Calcium Carbonate","Calcium"
"Dehydroepiandrosterone, Micronized","Dehydroepiandrosterone"
"Codeine Phos/guaiFENesin/PSE HCl","Codeine;Guaifenesin;Pseudoephedrine"
"Carbinoxamine Maleate","Carbinoxamine"
"Progesterone, Wettable","Progesterone"
"Tiotropium Bromide","Tiotropium"
"Peginterferon Alfa-2A","Interferon Alfa-2a"
"Aprepitant","Aprepitant"
"Aprepitant;Aprepitant","Aprepitant"
"Ethinyl Estradiol/Norethindrone Ace;Ethinyl Estrad","Ethinyl Estradiol;Norethindrone"
"Buprenorphine Hydrochloride","Buprenorphine"
"Eplerenone","Eplerenone"
"Oxybutynin","Oxybutynin"
"Ethinyl Estradiol/Norgestimate;Ethinyl Estradiol/N","Ethinyl Estradiol;Norgestimate"
"Desogestrel/Ethinyl Estradiol;Desogestrel/Ethinyl","Desogestrel;Ethinyl Estradiol"
"Ganirelix Acetate","Ganirelix"
"Gemifloxacin Mesylate","Gemifloxacin"
"Imatinib Mesylate","Imatinib"
"Chlorpheniramine Mal/DM Hydrobrom/Phenyleph HCl","Chlorpheniramine;Dextromethorphan;Phenylephrine"
"Omalizumab","Omalizumab"
"Levothyroxine Sodium","Levothyroxine"
"Atazanavir Sulfate","Atazanavir"
"Emtricitabine","Emtricitabine"
"Hydroxyprogesterone Caproate","Hydroxyprogesterone"
"Hydrochlorothiazide/Olmesartan Medoxomil","Hydrochlorothiazide;Olmesartan"
"Antihemophilic Factor (Recomb) Plasma/Albumin-Free","Antihemophilic Factor"
"Carbidopa/Entacapone/Levodopa","Carbidopa;Entacapone;Levodopa"
"Palonosetron Hydrochloride","Palonosetron"
"Ciprofloxacin Hydrochloride/Dexamethasone","Ciprofloxacin;Dexamethasone"
"Vardenafil Hydrochloride","Vardenafil"
"Ethinyl Estradiol/Etonogestrel","Ethinyl Estradiol;Etonogestrel"
"Rosuvastatin Calcium","Rosuvastatin"
"Estriol, Micronized","Estriol"
"Boron/Ca/Vit B12/Folic Acid/Mg/Vit B6/Vit D","Boron;Calcium;Vitamin B12;Folic Acid;Magnesium;Vitamin B6;Vitamin D"
"Itraconazole, Micronized","Itraconazole"
"Diazepam;Lubricant","Diazepam"
"Estradiol Acetate","Estradiol"
"Alfuzosin Hydrochloride","Alfuzosin"
"Daptomycin","Daptomycin"
"Fosamprenavir Calcium","Amprenavir"
"Ascorbic Acid/Iron","Ascorbic Acid;Iron"
"Vit C/Cu/Lutein/Se/Vit A/Vit E/Zinc","Vitamin C;Copper;Lutein;Selenium;Vitamin A;Vitamin E;Zinc"
"Chorionic Gonadotropin Alfa, Recombinant","Chorionic Gonadotropin Alfa"
"Memantine Hydrochloride","Memantine"
"Memantine Hydrochloride;Memantine Hydrochloride","Memantine"
"Epinastine Hydrochloride","Epinastine"
"Tadalafil","Tadalafil"
"Estradiol/Levonorgestrel","Estradiol;Levonorgestrel"
"Estradiol;Estradiol/Norgestimate","Estradiol;Norgestimate"
"Fluoxetine Hydrochloride/Olanzapine","Fluoxetine;Olanzapine"
"Paroxetine Mesylate","Paroxetine"
"Sertaconazole Nitrate","Sertaconazole"
"Amlodipine Besylate/Atorvastatin Calcium","Amlodipine;Atorvastatin"
"Cyclosporine, Modified","Cyclosporine"
"Peginterferon Alfa-2B","Interferon Alfa-2b"
"Amoxicillin;Clarithromycin;Lansoprazole","Amoxicillin;Clarithromycin;Lansoprazole"
"Bevacizumab","Bevacizumab"
"Bifidobacterium/Lactobacillus Acidophilus/Lactobac","Bifidobacterium;Lactobacillus Acidophilus;Lactobacillus"
"Flavocoxid","Flavocoxid"
"Cinacalcet Hydrochloride","Cinacalcet"
"Hyaluronic Acid","Hyaluronic Acid"
"Silver","Silver"
"Saccharomyces Boulardii","Saccharomyces Boulardii"
"Mycophenolate Sodium","Mycophenolate"
"Follitropin Beta","Follitropin Beta"
"Nelfinavir Mesylate","Nelfinavir"
"Naltrexone","Naltrexone"
"Vanadium","Vanadium"
"Follitropin Alfa","Follitropin Alfa"
"Apomorphine Hydrochloride","Apomorphine"
"Conjugated Estrogens;Conjugated Estrogens/Medroxyp","Conjugated Estrogens;Medroxyprogesterone"
"Aloe/HC Ace/Pramoxine HCl","Aloe;Hydrocortisone;Pramoxine"
"Guaifenesin/Hydrocodone Bitartrate","Guaifenesin;Hydrocodone"
"Chlorpheniramine Polistirex/Codeine Polistirex","Chlorpheniramine;Codeine"
"Trospium Chloride","Trospium"
"Cyanocobalamin/Folic Acid","Cyanocobalamin;Folic Acid"
"Polyethylene Glycol 3350","Polyethylene Glycol 3350"
"Rifaximin","Rifaximin"
"Ezetimibe/Simvastatin","Ezetimibe;Simvastatin"
"Ethyl Oleate","Ethyl Oleate"
"Emtricitabine/Tenofovir Disoproxil Fumarate","Emtricitabine;Tenofovir"
"Abacavir Sulfate/Lamivudine","Abacavir;Lamivudine"
"Duloxetine Hydrochloride","Duloxetine"
"Nitazoxanide","Nitazoxanide"
"Betahistine Hydrochloride","Betahistine"
"Acamprosate Calcium","Acamprosate"
"Lanthanum Carbonate","Lanthanum Carbonate"
"Natalizumab","Natalizumab"
"Solifenacin Succinate","Solifenacin"
"Eszopiclone","Eszopiclone"
"Darifenacin Hydrobromide","Darifenacin"
"Loteprednol Etabonate/Tobramycin","Loteprednol;Tobramycin"
"Yellow Fever Vaccine","Yellow Fever Vaccine"
"Conjugated Estrogens Synthetic B","Conjugated Estrogens"
"Lamotrigine;Lamotrigine","Lamotrigine"
"Omega-3-Acid Ethyl Esters","Omega-3 Fatty Acids"
"Levalbuterol Tartrate","Levalbuterol"
"Desloratadine/Pseudoephedrine Sulfate","Desloratadine;Pseudoephedrine"
"Entecavir","Entecavir"
