"GENNME","Active_Ingredients"
"Ciprofloxacin Hydrochloride","Ciprofloxacin"
"Clemastine Fumarate","Clemastine"
"Clarithromycin","Clarithromycin"
"Clindamycin Hydrochloride","Clindamycin"
"Clindamycin Palmitate Hydrochloride","Clindamycin Palmitate"
"Clindamycin Phosphate","Clindamycin Phosphate"
"Clobetasol Propionate","Clobetasol"
"Clocortolone Pivalate","Clocortolone"
"Clomiphene Citrate","Clomiphene"
"Clomipramine Hydrochloride","Clomipramine"
"Clonazepam","Clonazepam"
"Clonidine","Clonidine"
"Clonidine Hydrochloride","Clonidine"
"Clotrimazole","Clotrimazole"
"Clozapine","Clozapine"
"Codeine Sulfate","Codeine"
"Colchicine","Colchicine"
"Colestipol Hydrochloride","Colestipol"
"Colistimethate Sodium","Colistimethate"
"Collagenase","Collagenase"
"Corticotropin, Repository","Corticotropin"
"Cortisone Acetate","Cortisone"
"Cosyntropin","Cosyntropin"
"Cromolyn Sodium","Cromolyn"
"Crotamiton","Crotamiton"
"Cyclobenzaprine Hydrochloride","Cyclobenzaprine"
"Cyclopentolate Hydrochloride","Cyclopentolate"
"Cyclopentolate HCl/Phenyleph HCl","Cyclopentolate;Phenylephrine"
"Cyclophosphamide","Cyclophosphamide"
"Cyclosporine","Cyclosporine"
"Cyproheptadine Hydrochloride","Cyproheptadine"
"Danazol","Danazol"
"Dantrolene Sodium","Dantrolene"
"Dapsone","Dapsone"
"Demeclocycline Hydrochloride","Demeclocycline"
"Desipramine Hydrochloride","Desipramine"
"Desmopressin Acetate","Desmopressin"
"Desonide","Desonide"
"Desoximetasone","Desoximetasone"
"Dexamethasone","Dexamethasone"
"Dexamethasone Sodium Phosphate","Dexamethasone"
"Dexchlorpheniramine Maleate","Dexchlorpheniramine"
"Dextroamphetamine Sulfate","Dextroamphetamine"
"Dextrose","Dextrose"
"Dextrose/Sodium Chloride","Dextrose;Sodium"
"Diazepam","Diazepam"
"Diclofenac Sodium","Diclofenac"
"Dicloxacillin Sodium","Dicloxacillin"
"Dicyclomine Hydrochloride","Dicyclomine"
"Diethylpropion Hydrochloride","Diethylpropion"
"Atropine Sulfate/Difenoxin Hydrochloride","Atropine;Difenoxin"
"Diflorasone Diacetate","Diflorasone"
"Diflunisal","Diflunisal"
"Digoxin","Digoxin"
"Dihydroergotamine Mesylate","Dihydroergotamine"
"Diltiazem Hydrochloride","Diltiazem"
"Diphenhydramine Hydrochloride","Diphenhydramine"
"Atropine Sulfate/Diphenoxylate Hydrochloride","Atropine;Diphenoxylate"
"Dipyridamole","Dipyridamole"
"Disopyramide Phosphate","Disopyramide"
"Disulfiram","Disulfiram"
"Doxazosin Mesylate","Doxazosin"
"Doxepin Hydrochloride","Doxepin"
"Doxycycline Hyclate","Doxycycline"
"Dronabinol","Dronabinol"
"Econazole Nitrate","Econazole"
"Enalapril Maleate","Enalaprilat"
"Enalapril Maleate/Hydrochlorothiazide","Enalaprilat;Hydrochlorothiazide"
"Enoxaparin Sodium","Enoxaparin"
"Epinephrine","Epinephrine"
"Epinephrine Hydrochloride","Epinephrine"
"Epoetin Alfa","Epoetin Alfa"
"Ergocalciferol","Ergocalciferol"
"Caffeine/Ergotamine Tartrate","Caffeine;Ergotamine"
"Erythromycin","Erythromycin"
"Erythromycin Stearate","Erythromycin"
"Erythromycin Ethylsuccinate","Erythromycin"
"Estazolam","Estazolam"
"Estradiol","Estradiol"
"Estradiol Cypionate","Estradiol"
"Estradiol Valerate","Estradiol"
"Conjugated Estrogens","Conjugated Estrogens"
"Esterified Estrogens","Estrogen"
"Esterified Estrogens/Methyltestosterone","Estrogen;Testosterone"
"Estropipate","Estrone"
"Ethacrynic Acid","Ethacrynic Acid"
"Ethambutol Hydrochloride","Ethambutol"
"Ethosuximide","Ethosuximide"
"Etodolac","Etodolac"
"Famotidine","Famotidine"
"Felodipine","Felodipine"
"Fenoprofen Calcium","Fenoprofen"
"Fentanyl","Fentanyl"
"Fentanyl Citrate","Fentanyl"
"Filgrastim","Filgrastim"
"Finasteride","Finasteride"
"Flavoxate Hydrochloride","Flavoxate"
"Flecainide Acetate","Flecainide"
"Fluconazole","Fluconazole"
"Flucytosine","Flucytosine"
"Fludrocortisone Acetate","Fludrocortisone"
"Flunisolide","Flunisolide"
"Fluocinolone Acetonide","Fluocinolone"
"Fluocinonide","Fluocinonide"
"Fluorometholone","Fluorometholone"
"Fluorouracil","Fluorouracil"
"Fluoxetine Hydrochloride","Fluoxetine"
"Fluoxymesterone","Fluoxymesterone"
"Fluphenazine Hydrochloride","Fluphenazine"
"Flurandrenolide","Flurandrenolide"
"Flurazepam Hydrochloride","Flurazepam"
"Flurbiprofen","Flurbiprofen"
"Flurbiprofen Sodium","Flurbiprofen"
"Flutamide","Flutamide"
"Fluticasone Propionate","Fluticasone"
"Folic Acid","Folic Acid"
"Formaldehyde","Formaldehyde"
"Fosinopril Sodium","Fosinoprilat"
"Furosemide","Furosemide"
"Gemfibrozil","Gemfibrozil"
"Gentamicin Sulfate","Gentamicin"
"Glipizide","Glipizide"
"Glucagon Hydrochloride","Glucagon"
"Glyburide","Glyburide"
"Glycopyrrolate","Glycopyrrolate"
"Chorionic Gonadotropin","Chorionic Gonadotropin"
"Griseofulvin, Microcrystalline","Griseofulvin"
"Griseofulvin, Ultramicrocrystalline","Griseofulvin"
"Guaifenesin","Guaifenesin"
"Codeine Phosphate/Guaifenesin","Codeine;Guaifenesin"
"Dextromethorphan Hydrobromide/Guaifenesin","Dextromethorphan;Guaifenesin"
"Guanfacine Hydrochloride","Guanfacine"
"Halcinonide","Halcinonide"
"Halobetasol Propionate","Halobetasol"
"Haloperidol","Haloperidol"
"Haloperidol Decanoate","Haloperidol"
"Heparin Sodium","Heparin"
"Hepatitis B Vaccine Recombinant","Hepatitis B Vaccine Recombinant"
"Homatropine Hydrobromide","Homatropine"
"Hydralazine Hydrochloride","Hydralazine"
"Hydrochlorothiazide","Hydrochlorothiazide"
"Chlorpheniramine Polistirex/Hydrocodone Polistirex","Chlorpheniramine;Hydrocodone"
"Acetaminophen/Hydrocodone Bitartrate","Acetaminophen;Hydrocodone"
"Homatropine Methylbromide/Hydrocodone Bitartrate","Homatropine Methylbromide;Hydrocodone"
"Hydrocortisone Acetate/Pramoxine Hydrochloride","Hydrocortisone;Pramoxine"
"Hydrocortisone Valerate","Hydrocortisone Valerate"
"Hydrocortisone","Hydrocortisone"
"Hydrocortisone Butyrate","Hydrocortisone Butyrate"
"Clioquinol/Hydrocortisone","Clioquinol;Hydrocortisone"
"Hydrocortisone Acetate","Hydrocortisone"
"Hydrocortisone Sodium Succinate","Hydrocortisone"
"Hydromorphone Hydrochloride","Hydromorphone"
"Hydroquinone","Hydroquinone"
"Hydroxychloroquine Sulfate","Hydroxychloroquine"
"Hydroxyurea","Hydroxyurea"
"Hydroxyzine Hydrochloride","Hydroxyzine"
"Hydroxyzine Pamoate","Hydroxyzine"
"Hyoscyamine Sulfate","Hyoscyamine"
"Ibuprofen","Ibuprofen"
"Imipramine Hydrochloride","Imipramine"
"Imipramine Pamoate","Imipramine"
"Immune Globulin","Immune Globulin"
"Indapamide","Indapamide"
"Indomethacin","Indomethacin"
"Iodine/Potassium Iodide","Iodine;Potassium Iodide"
"Iohexol","Iohexol"
"Ipratropium Bromide","Ipratropium"
"APAP/Dichloralphenazone/Isometheptene Mucate","Acetaminophen;Dichloralphenazone;Isometheptene"
"Isoniazid","Isoniazid"
"Isosorbide Dinitrate","Isosorbide"
"Isosorbide Mononitrate","Isosorbide"
"Isotretinoin","Isotretinoin"
"Isoxsuprine Hydrochloride","Isoxsuprine"
"Isradipine","Isradipine"
"Itraconazole","Itraconazole"
"Ketamine Hydrochloride","Ketamine"
"Ketoconazole","Ketoconazole"
"Ketoprofen","Ketoprofen"
"Ketorolac Tromethamine","Ketorolac"
"Labetalol Hydrochloride","Labetalol"
"Lactic Acid","Lactic Acid"
"Leucovorin Calcium","Leucovorin"
"Levobunolol Hydrochloride","Levobunolol"
"Levorphanol Tartrate","Levorphanol"
"Lidocaine","Lidocaine"
"Lidocaine Hydrochloride","Lidocaine"
"Lidocaine/Prilocaine","Lidocaine;Prilocaine"
"Lindane","Lindane"
"Liothyronine Sodium","Liothyronine"
"Lisinopril","Lisinoprilat"
"Hydrochlorothiazide/Lisinopril","Hydrochlorothiazide;Lisinoprilat"
"Lithium Carbonate","Lithium"
"Loperamide Hydrochloride","Loperamide"
"Loratadine","Loratadine"
"Lorazepam","Lorazepam"
"Lovastatin","Lovastatin"
"Loxapine Succinate","Loxapine"
"Mafenide Acetate","Mafenide"
"Malathion","Malathion"
"Maprotiline Hydrochloride","Maprotiline"
"Mebendazole","Mebendazole"
"Meclizine Hydrochloride","Meclizine"
"Meclofenamate Sodium","Meclofenamate"
"Medroxyprogesterone Acetate","Medroxyprogesterone"
"Mefloquine Hydrochloride","Mefloquine"
"Megestrol Acetate","Megestrol"
"Melphalan","Melphalan"
"Meperidine Hydrochloride","Meperidine"
"Meprobamate","Meprobamate"
"Mercaptopurine","Mercaptopurine"
"Mesalamine","Mesalamine"
"Metaxalone","Metaxalone"
"Methadone Hydrochloride","Methadone"
"Methazolamide","Methazolamide"
"Methenamine Hippurate","Methenamine"
"Methimazole","Methimazole"
"Methocarbamol","Methocarbamol"
"Methotrexate Sodium","Methotrexate"
"Methscopolamine Bromide","Methscopolamine"
"Methyldopa","Methyldopa"
"Methylergonovine Maleate","Methylergonovine"
"Methylphenidate Hydrochloride","Methylphenidate"
"Methylprednisolone","Methylprednisolone"
"Methylprednisolone Acetate","Methylprednisolone"
"Methylprednisolone Sodium Succinate","Methylprednisolone"
"Methyltestosterone","Testosterone"
"Metipranolol","Metipranolol"
"Metoclopramide Hydrochloride","Metoclopramide"
"Metolazone","Metolazone"
"Hydrochlorothiazide/Metoprolol Tartrate","Hydrochlorothiazide;Metoprolol"
"Metoprolol Succinate","Metoprolol"
"Metoprolol Tartrate","Metoprolol"
"Metronidazole","Metronidazole"
"Mexiletine Hydrochloride","Mexiletine"
"Miconazole Nitrate","Miconazole"
"Midazolam Hydrochloride","Midazolam"
"Milrinone Lactate","Milrinone"
"Minocycline Hydrochloride","Minocycline"
"Minoxidil","Minoxidil"
"Misoprostol","Misoprostol"
"Mitomycin","Mitomycin"
"Mometasone Furoate","Mometasone"
"Morphine Sulfate","Morphine"
"Mupirocin","Mupirocin"
"Nabumetone","Nabumetone"
"Nafcillin Sodium","Nafcillin"
"Naftifine Hydrochloride","Naftifine"
"Nadolol","Nadolol"
"Naloxone Hydrochloride","Naloxone"
"Naltrexone Hydrochloride","Naltrexone"
"Naphazoline Hydrochloride","Naphazoline"
"Naphazoline Hydrochloride/Pheniramine Maleate","Naphazoline;Pheniramine"
"Naproxen","Naproxen"
"Naproxen Sodium","Naproxen"
"Natamycin","Natamycin"
"Bacitracin Zinc/Neomycin/Polymyxin B Sulfate","Bacitracin;Neomycin;Polymyxin B"
"Bacitracin Zn/HC/Neomycin Sulf/Polymyxin B Sulf","Bacitracin;Hydrocortisone;Neomycin;Polymyxin B"
"Dexamethasone/Neomycin Sulfate/Polymyxin B Sulfate","Dexamethasone;Neomycin;Polymyxin B"
"HC/Neomycin Sulf/Polymyxin B Sulf","Hydrocortisone;Neomycin;Polymyxin B"
"Neomycin Sulfate/Polymyxin B Sulfate","Neomycin;Polymyxin B"
"Neomycin Sulfate","Neomycin"
"Niacin","Niacin"
"Niacinamide","Niacinamide"
"Nicardipine Hydrochloride","Nicardipine"
"Nicotine","Nicotine"
"Nicotine Polacrilex","Nicotine"
"Nifedipine","Nifedipine"
"Nimodipine","Nimodipine"
"Nitrofurantoin","Nitrofurantoin"
"Nitrofurantoin, Macrocrystals","Nitrofurantoin"
"Nitroglycerin","Nitroglycerin"
"Nizatidine","Nizatidine"
"Norethindrone","Norethindrone"
"Norethindrone Acetate","Norethindrone"
"Norfloxacin","Norfloxacin"
"Nortriptyline Hydrochloride","Nortriptyline"
"Nystatin","Nystatin"
"Nystatin/Triamcinolone Acetonide","Nystatin;Triamcinolone"
"Octreotide Acetate","Octreotide"
"Ofloxacin","Ofloxacin"
"Olsalazine Sodium","Olsalazine"
"Omeprazole","Omeprazole"
"Ondansetron Hydrochloride","Ondansetron"
"Belladonna Alkaloids/Opium Alkaloids","Belladonna Alkaloids;Opium Alkaloids"
"Orphenadrine Citrate","Orphenadrine"
"Oxandrolone","Oxandrolone"
"Oxaprozin","Oxaprozin"
"Oxazepam","Oxazepam"
"Oxiconazole Nitrate","Oxiconazole"
"Oxybutynin Chloride","Oxybutynin"
"Oxycodone Hydrochloride","Oxycodone"
"Acetaminophen/Oxycodone Hydrochloride","Acetaminophen;Oxycodone"
"Paclitaxel","Paclitaxel"
"Paromomycin Sulfate","Paromomycin"
"Paroxetine Hydrochloride","Paroxetine"
"Penbutolol Sulfate","Penbutolol"
"Penicillin G Benzathine","Penicillin G"
"Penicillin V Potassium","Penicillin V"
"Naloxone Hydrochloride/Pentazocine Hydrochloride","Naloxone;Pentazocine"
"Pentoxifylline","Pentoxifylline"
"Permethrin","Permethrin"
"Perphenazine","Perphenazine"
"Phenazopyridine Hydrochloride","Phenazopyridine"
"Phendimetrazine Tartrate","Phendimetrazine"
"Phenelzine Sulfate","Phenelzine"
"Phenobarbital","Phenobarbital"
"Phenoxybenzamine Hydrochloride","Phenoxybenzamine"
"Phentermine Hydrochloride","Phentermine"
"Phenylephrine Hydrochloride","Phenylephrine"
"Phenytoin","Phenytoin"
"Phytonadione","Phytonadione"
"Pilocarpine Hydrochloride","Pilocarpine"
"Pimozide","Pimozide"
"Pindolol","Pindolol"
"Piroxicam","Piroxicam"
"Podofilox","Podofilox"
"Polymyxin B Sulfate","Polymyxin B"
"Citric Acid/Potassium Citrate","Citric Acid;Potassium Citrate"
"Potassium Phosphate, Monobasic","Potassium Phosphate"
"Potassium Chloride","Potassium Chloride"
"Dextrose/Potassium Chloride/Sodium Chloride","Dextrose;Potassium Chloride;Sodium"
"Potassium Iodide","Potassium Iodide"
"Pravastatin Sodium","Pravastatin"
"Praziquantel","Praziquantel"
"Prazosin Hydrochloride","Prazosin"
"Prednisolone","Prednisolone"
"Prednisolone Acetate","Prednisolone"
"Gentamicin Sulfate/Prednisolone Acetate","Gentamicin;Prednisolone"
"Prednisolone Sodium Phosphate","Prednisolone"
"Prednisone","Prednisone"
"Primidone","Primidone"
"Probenecid","Probenecid"
"Colchicine/Probenecid","Colchicine;Probenecid"
"Procarbazine Hydrochloride","Procarbazine"
"Prochlorperazine","Prochlorperazine"
"Progesterone","Progesterone"
"DM Hydrobrom/Promethazine HCl","Dextromethorphan;Promethazine"
"Phenyleph HCl/Promethazine HCl","Phenylephrine;Promethazine"
"Promethazine Hydrochloride","Promethazine"
"Codeine Phosphate/Promethazine Hydrochloride","Codeine;Promethazine"
"Codeine Phos/Phenyleph HCl/Promethazine HCl","Codeine;Phenylephrine;Promethazine"
"Propafenone Hydrochloride","Propafenone"
"Propantheline Bromide","Propantheline"
"Proparacaine Hydrochloride","Proparacaine"
"Propranolol Hydrochloride","Propranolol"
"Hydrochlorothiazide/Propranolol Hydrochloride","Hydrochlorothiazide;Propranolol"
"Propylthiouracil","Propylthiouracil"
"Protriptyline Hydrochloride","Protriptyline"
"Pseudoephedrine Hydrochloride","Pseudoephedrine"
"Chlorpheniramine Mal/PSE HCl","Chlorpheniramine;Pseudoephedrine"
"Pyrazinamide","Pyrazinamide"
"Pyridostigmine Bromide","Pyridostigmine"
"Quinapril Hydrochloride","Quinaprilat"
"Quinidine Gluconate","Quinidine"
"Quinidine Sulfate","Quinidine"
"Ramipril","Ramiprilat"
"Ranitidine Hydrochloride","Ranitidine"
"Rifabutin","Rifabutin"
"Rifampin","Rifampin"
"Salsalate","Salicylate"
"Selegiline Hydrochloride","Selegiline"
"Selenium Sulfide","Selenium Sulfide"
"Sertraline Hydrochloride","Sertraline"
"Silver Sulfadiazine","Silver Sulfadiazine"
"Simvastatin","Simvastatin"
"Sodium Bicarbonate","Sodium"
"Sodium Chloride","Sodium"
"Citric Acid/Sodium Citrate","Citric Acid;Citrate"
"Sodium Fluoride","Fluoride"
"Sodium Phosphate","Phosphate"
"Sodium Polystyrene Sulfonate","Polystyrene Sulfonate"
"Prednisolone Acetate/Sulfacetamide Sodium","Prednisolone;Sulfacetamide"
"Prednisolone Sodium Phosphate/Sulfacetamide Sodium","Prednisolone;Sulfacetamide"
"Sulfacetamide Sodium","Sulfacetamide"
"Sotalol Hydrochloride","Sotalol"
"Spironolactone","Spironolactone"
"Hydrochlorothiazide/Spironolactone","Hydrochlorothiazide;Spironolactone"
"Stannous Fluoride","Stannous Fluoride"
"Succimer","Succimer"
"Sucralfate","Sulfate"
"Ampicillin Sodium/Sulbactam Sodium","Ampicillin;Sulbactam"
"Sulconazole Nitrate","Sulconazole"
"Sulfasalazine","Sulfasalazine"
"Sulfacetamide Sodium/Sulfur","Sulfacetamide;Sulfur"
"Sulindac","Sulindac"
"Sumatriptan Succinate","Sumatriptan"
"Tamoxifen Citrate","Tamoxifen"
"Temazepam","Temazepam"
"Terbinafine Hydrochloride","Terbinafine"
"Terbutaline Sulfate","Terbutaline"
"Terconazole","Terconazole"
"Testosterone","Testosterone"
"Testosterone Cypionate","Testosterone"
"Testosterone Enanthate","Testosterone"
"Tetracycline Hydrochloride","Tetracycline"
"Theophylline","Theophylline"
"Thiamine","Thiamine"
"Thioridazine Hydrochloride","Thioridazine"
"Thiothixene","Thiothixene"
"Thyroid","Thyroid"
"Ticlopidine Hydrochloride","Ticlopidine"
"Timolol Maleate","Timolol"
"Tobramycin","Tobramycin"
"Tobramycin Sulfate","Tobramycin"
"Dexamethasone/Tobramycin","Dexamethasone;Tobramycin"
"Tolmetin Sodium","Tolmetin"
"Tranylcypromine Sulfate","Tranylcypromine"
"Trazodone Hydrochloride","Trazodone"
"Tretinoin","Tretinoin"
"Triamcinolone Acetonide","Triamcinolone"
"Triamterene","Triamterene"
"Hydrochlorothiazide/Triamterene","Hydrochlorothiazide;Triamterene"
"Triazolam","Triazolam"
"Trifluoperazine Hydrochloride","Trifluoperazine"
"Trifluridine","Trifluridine"
"Trihexyphenidyl Hydrochloride","Trihexyphenidyl"
"Trimethobenzamide Hydrochloride","Trimethobenzamide"
"Trimethoprim","Trimethoprim"
"Polymyxin B Sulfate/Trimethoprim Sulfate","Polymyxin B;Trimethoprim"
"Sulfamethoxazole/Trimethoprim","Sulfamethoxazole;Trimethoprim"
"Trimipramine Maleate","Trimipramine"
"Tropicamide","Tropicamide"
"Tuberculin","Tuberculin"
"Urea","Urea"
"Ursodiol","Ursodiol"
"Valproic Acid","Valproic Acid"
"Vancomycin Hydrochloride","Vancomycin"
"Verapamil Hydrochloride","Verapamil"
"Cyanocobalamin","Cyanocobalamin"
"Warfarin Sodium","Warfarin"
"Zinc Sulfate","Zinc"
"Zolpidem Tartrate","Zolpidem"
"Penicillin G Potassium","Penicillin G"
"Interferon Beta-1B","Interferon Beta-1b"
"Piperacillin Sodium/Tazobactam Sodium","Piperacillin;Tazobactam"
"Bisoprolol Fumarate","Bisoprolol"
"Bisoprolol Fumarate/Hydrochlorothiazide","Bisoprolol;Hydrochlorothiazide"
"Lodoxamide Tromethamine","Lodoxamide"
"Haloperidol Lactate","Haloperidol"
"Diclofenac Potassium","Diclofenac"
"Prochlorperazine Maleate","Prochlorperazine"
"Gabapentin","Gabapentin"
"Phenobarbital Sodium","Phenobarbital"
"Dornase Alfa","Dornase Alfa"
"Risperidone","Risperidone"
"Phenytoin Sodium, Extended","Phenytoin"
"Torsemide","Torsemide"
"Venlafaxine Hydrochloride","Venlafaxine"
"Calcipotriene","Calcipotriene"
"Fluvastatin Sodium","Fluvastatin"
"Potassium Bicarbonate/Potassium Citrate","Potassium Bicarbonate;Potassium Citrate"
"Benazepril Hydrochloride/Hydrochlorothiazide","Benazepril;Hydrochlorothiazide"
"Acrivastine/Pseudoephedrine Hydrochloride","Acrivastine;Pseudoephedrine"
"Ergotamine Tartrate","Ergotamine"
"Tacrolimus","Tacrolimus"
"Famciclovir","Famciclovir"
"Hydroxypropyl Cellulose","Hydroxypropyl Cellulose"
"Potassium Bicarbonate/Potassium Chloride","Potassium Bicarbonate;Potassium Chloride"
"Dextrose/Vancomycin Hydrochloride","Dextrose;Vancomycin"
"Doxycycline Calcium","Doxycycline"
"Doxycycline","Doxycycline"
"Bacitracin Zinc/Polymyxin B Sulfate","Bacitracin;Polymyxin B"
"Ferrous Fumarate/Folic Acid","Ferrous;Folic Acid"
"Hydrocortisone/Iodoquinol","Hydrocortisone;Iodoquinol"
"Cyanocobalamin/Folic Acid/Iron Polysaccharide","Cyanocobalamin;Folic Acid;Iron Polysaccharide"
"Potassium Chloride/Sodium Chloride","Potassium Chloride;Sodium"
"Salicylic Acid","Salicylic Acid"
"Acetic Acid/Aluminum Acetate","Acetic Acid;Aluminum"
"Fluorometholone Acetate","Fluorometholone"
"Fluvoxamine Maleate","Fluvoxamine"
"Citric Acid/Gluconolactone/Magnesium Carbonate","Citric Acid;Gluconolactone;Magnesium Carbonate"
"Petrolatum","Petrolatum"
"Cellulose","Cellulose"
"Thymol","Thymol"
"Hypromellose","Hypromellose"
"Nefazodone Hydrochloride","Nefazodone"
"Granisetron Hydrochloride","Granisetron"
"Dehydroepiandrosterone","Dehydroepiandrosterone"
"Estriol","Estriol"
"Sodium Butyrate","Butyrate"
"Silicon Dioxide","Silicon Dioxide"
"Lamotrigine","Lamotrigine"
"Magnesium Hydroxide","Magnesium Hydroxide"
"Acetaminophen","Acetaminophen"
"Lactobacillus Acidophilus","Lactobacillus Acidophilus"
"Aspirin","Acetylsalicylic Acid"
"Bisacodyl","Bisacodyl"
"Calcium Carbonate","Calcium"
"Calcium Carbonate/Vitamin D","Calcium;Vitamin D"
"Calcium Polycarbophil","Calcium Polycarbophil"
"Capsaicin","Capsaicin"
"Carbamide Peroxide","Carbamide Peroxide"
"Chlorhexidine Gluconate","Chlorhexidine"
"Docusate Calcium","Docusate Calcium"
"Docusate Sodium","Docusate"
"Ferrous Gluconate","Ferrous"
"Ferrous Sulfate","Ferrous"
"Ibuprofen/Pseudoephedrine Hydrochloride","Ibuprofen;Pseudoephedrine"
"Insulin Human Isophane (NPH)","Insulin Human Isophane"
"Insulin Human Regular","Insulin Human Regular"
"Insulin Human Isophane (NPH)/Insulin Human Regular","Insulin Human Isophane;Insulin Human Regular"
"Magnesium Oxide","Magnesium Oxide"
"Methylcellulose","Methylcellulose"
"Iron Polysaccharide","Iron Polysaccharide"
"Polyvinyl Alcohol","Polyvinyl Alcohol"
"Quinine Sulfate","Quinine"
"Simethicone","Simethicone"
"Ascorbic Acid","Ascorbic Acid"
"Brompheniramine Mal/Phenyleph HCl","Brompheniramine;Phenylephrine"
"Pyridoxine","Pyridoxine"
"Vitamin D","Vitamin D"
"Cholecalciferol","Cholecalciferol"
"Bismuth Tribromophenate","Bismuth Tribromophenate"
"Terazosin Hydrochloride","Terazosin"
"Interferon Alfa-2B","Interferon Alfa-2b"
"Cadexomer Iodine","Cadexomer Iodine"
"Bacitracin Zinc","Bacitracin Zinc"
"Conjugated Estrogens/Medroxyprogesterone Acetate","Conjugated Estrogens;Medroxyprogesterone"
