"GENNME","Active_Ingredients"
"Amitriptyline Hydrochloride/Chlordiazepoxide","Amitriptyline;Chlordiazepoxide"
"Chlordiazepoxide Hydrochloride","Chlordiazepoxide"
"Chlordiazepoxide Hydrochloride/Clidinium Bromide","Chlordiazepoxide;Clidinium"
"Chloroquine Phosphate","Chloroquine"
"Chlorothiazide","Chlorothiazide"
"Chlorpheniramine Maleate","Chlorpheniramine"
"Chlorpromazine Hydrochloride","Chlorpromazine"
"Chlorpropamide","Chlorpropamide"
"Chlorthalidone","Chlorthalidone"
"Chlorzoxazone","Chlorzoxazone"
"Cholestyramine","Cholestyramine"
"Cimetidine","Cimetidine"
"Ciprofloxacin Hydrochloride","Ciprofloxacin"
"Cisplatin","Cisplatin"
"Clemastine Fumarate","Clemastine"
"Clarithromycin","Clarithromycin"
"Clindamycin Hydrochloride","Clindamycin"
"Clindamycin Palmitate Hydrochloride","Clindamycin"
"Clindamycin","Clindamycin"
"Clobetasol Propionate","Clobetasol"
"Clocortolone Pivalate","Clocortolone"
"Clomiphene Citrate","Clomiphene"
"Clomipramine Hydrochloride","Clomipramine"
"Clonazepam","Clonazepam"
"Clonidine","Clonidine"
"Clonidine Hydrochloride","Clonidine"
"Clotrimazole","Clotrimazole"
"Clozapine","Clozapine"
"Cocaine Hydrochloride","Cocaine"
"Codeine Sulfate","Codeine"
"Colchicine","Colchicine"
"Colestipol Hydrochloride","Colestipol"
"Colistimethate Sodium","Colistimethate"
"Collagenase","Collagenase"
"Collodion","Collodion"
"Corticotropin, Repository","Corticotropin"
"Cortisone Acetate","Cortisone"
"Cosyntropin","Cosyntropin"
"Cromolyn Sodium","Cromolyn"
"Crotamiton","Crotamiton"
"Cyclobenzaprine Hydrochloride","Cyclobenzaprine"
"Cyclopentolate Hydrochloride","Cyclopentolate"
"Cyclopentolate HCl/Phenyleph HCl","Cyclopentolate;Phenylephrine"
"Cyclophosphamide","Cyclophosphamide"
"Cyclosporine","Cyclosporine"
"Cyproheptadine Hydrochloride","Cyproheptadine"
"Dacarbazine","Dacarbazine"
"Dactinomycin","Dactinomycin"
"Danazol","Danazol"
"Dantrolene Sodium","Dantrolene"
"Dapsone","Dapsone"
"Demeclocycline Hydrochloride","Demeclocycline"
"Desipramine Hydrochloride","Desipramine"
"Desmopressin Acetate","Desmopressin"
"Desonide","Desonide"
"Desoximetasone","Desoximetasone"
"Dexamethasone","Dexamethasone"
"Dexamethasone Sodium Phosphate","Dexamethasone"
"Dextroamphetamine Sulfate","Dextroamphetamine"
"Dextromethorphan Hydrobromide","Dextromethorphan"
"Dextrose","Dextrose"
"Dextrose/Sodium Chloride","Dextrose;Sodium"
"Diatrizoate Meglumine/Diatrizoate Sodium","Diatrizoate"
"Diazepam","Diazepam"
"Diazoxide","Diazoxide"
"Diclofenac Sodium","Diclofenac"
"Dicloxacillin Sodium","Dicloxacillin"
"Dicyclomine Hydrochloride","Dicyclomine"
"Diflorasone Diacetate","Diflorasone"
"Diflunisal","Diflunisal"
"Digoxin","Digoxin"
"Dihydroergotamine Mesylate","Dihydroergotamine"
"Diltiazem Hydrochloride","Diltiazem"
"Dimethyl Sulfoxide","Dimethyl Sulfoxide"
"Diphenhydramine Hydrochloride","Diphenhydramine"
"Atropine Sulfate/Diphenoxylate Hydrochloride","Atropine;Diphenoxylate"
"Dipyridamole","Dipyridamole"
"Disulfiram","Disulfiram"
"Dobutamine Hydrochloride","Dobutamine"
"Dopamine Hydrochloride","Dopamine"
"Doxazosin Mesylate","Doxazosin"
"Doxepin Hydrochloride","Doxepin"
"Doxorubicin Hydrochloride","Doxorubicin"
"Doxycycline Hyclate","Doxycycline"
"Dronabinol","Dronabinol"
"Droperidol","Droperidol"
"Econazole Nitrate","Econazole"
"Enalapril Maleate","Enalaprilat"
"Enalaprilat","Enalaprilat"
"Enalapril Maleate/Hydrochlorothiazide","Enalaprilat;Hydrochlorothiazide"
"Enoxaparin Sodium","Enoxaparin"
"Epinephrine","Epinephrine"
"Epinephrine Hydrochloride","Epinephrine"
"Epoetin Alfa","Epoetin Alfa"
"Ergocalciferol","Ergocalciferol"
"Caffeine/Ergotamine Tartrate","Caffeine;Ergotamine"
"Erythromycin","Erythromycin"
"Erythromycin Stearate","Erythromycin"
"Erythromycin Ethylsuccinate","Erythromycin"
"Esmolol Hydrochloride","Esmolol"
"Estazolam","Estazolam"
"Estradiol","Estradiol"
"Estradiol Cypionate","Estradiol"
"Estradiol Valerate","Estradiol"
"Conjugated Estrogens","Conjugated Estrogens"
"Esterified Estrogens","Estrogen"
"Ethambutol Hydrochloride","Ethambutol"
"Ethosuximide","Ethosuximide"
"Etodolac","Etodolac"
"Etomidate","Etomidate"
"Etoposide","Etoposide"
"Famotidine","Famotidine"
"Fat Emulsion","Fat Emulsion"
"Felodipine","Felodipine"
"Fentanyl","Fentanyl"
"Fentanyl Citrate","Fentanyl"
"Filgrastim","Filgrastim"
"Finasteride","Finasteride"
"Flavoxate Hydrochloride","Flavoxate"
"Flecainide Acetate","Flecainide"
"Fluconazole","Fluconazole"
"Flucytosine","Flucytosine"
"Fludrocortisone Acetate","Fludrocortisone"
"Flunisolide","Flunisolide"
"Fluocinolone Acetonide","Fluocinolone"
"Fluocinonide","Fluocinonide"
"Fluorescein Sodium","Fluorescein"
"Fluorometholone","Fluorometholone"
"Fluorouracil","Fluorouracil"
"Fluoxetine Hydrochloride","Fluoxetine"
"Fluphenazine Hydrochloride","Fluphenazine"
"Flurandrenolide","Flurandrenolide"
"Flurazepam Hydrochloride","Flurazepam"
"Flurbiprofen","Flurbiprofen"
"Flurbiprofen Sodium","Flurbiprofen"
"Fluticasone Propionate","Fluticasone"
"Folic Acid","Folic Acid"
"Fosinopril Sodium","Fosinoprilat"
"Furosemide","Furosemide"
"Gadoteridol","Gadoteridol"
"Ganciclovir Sodium","Ganciclovir"
"Gemfibrozil","Gemfibrozil"
"Gentamicin Sulfate","Gentamicin"
"Glipizide","Glipizide"
"Glucagon Hydrochloride","Glucagon"
"Glyburide","Glyburide"
"Glycopyrrolate","Glycopyrrolate"
"Goserelin Acetate","Goserelin"
"Griseofulvin, Microcrystalline","Griseofulvin"
"Griseofulvin, Ultramicrocrystalline","Griseofulvin"
"Guaifenesin","Guaifenesin"
"Codeine Phosphate/Guaifenesin","Codeine;Guaifenesin"
"Dextromethorphan Hydrobromide/Guaifenesin","Dextromethorphan;Guaifenesin"
"Guanfacine Hydrochloride","Guanfacine"
"Halobetasol Propionate","Halobetasol"
"Haloperidol","Haloperidol"
"Haloperidol Decanoate","Haloperidol"
"Heparin Sodium","Heparin"
"Hepatitis B Vaccine Recombinant","Hepatitis B Vaccine"
"Hexachlorophene","Hexachlorophene"
"Hydralazine Hydrochloride","Hydralazine"
"Hydrochlorothiazide","Hydrochlorothiazide"
"Chlorpheniramine Polistirex/Hydrocodone Polistirex","Chlorpheniramine;Hydrocodone"
"Acetaminophen/Hydrocodone Bitartrate","Acetaminophen;Hydrocodone"
"Homatropine Methylbromide/Hydrocodone Bitartrate","Homatropine;Hydrocodone"
"Hydrocortisone Acetate/Pramoxine Hydrochloride","Hydrocortisone;Pramoxine"
"Hydrocortisone Valerate","Hydrocortisone"
"Hydrocortisone","Hydrocortisone"
"Hydrocortisone Butyrate","Hydrocortisone"
"Hydrocortisone Acetate","Hydrocortisone"
"Hydrocortisone Sodium Succinate","Hydrocortisone"
"Hydromorphone Hydrochloride","Hydromorphone"
"Hydroquinone","Hydroquinone"
"Hydroxychloroquine Sulfate","Hydroxychloroquine"
"Hydroxyurea","Hydroxyurea"
"Hydroxyzine Hydrochloride","Hydroxyzine"
"Hydroxyzine Pamoate","Hydroxyzine"
"Hyoscyamine Sulfate","Hyoscyamine"
"Ibuprofen","Ibuprofen"
"Cilastatin Sodium/Imipenem","Cilastatin;Imipenem"
"Imipramine Hydrochloride","Imipramine"
"Imipramine Pamoate","Imipramine"
"Immune Globulin","Immune Globulin"
"Indapamide","Indapamide"
"Indomethacin","Indomethacin"
"Iohexol","Iohexol"
"Iopamidol","Iopamidol"
"Iothalamate Meglumine","Iothalamate"
"Ioversol","Ioversol"
"Ipratropium Bromide","Ipratropium"
"Iron Dextran","Iron"
"APAP/Dichloralphenazone/Isometheptene Mucate","Acetaminophen;Dichloralphenazone;Isometheptene"
"Isoniazid","Isoniazid"
"Isosorbide Dinitrate","Isosorbide"
"Isosorbide Mononitrate","Isosorbide"
"Isosulfan Blue","Isosulfan Blue"
"Isotretinoin","Isotretinoin"
"Isradipine","Isradipine"
"Itraconazole","Itraconazole"
"Ketamine Hydrochloride","Ketamine"
"Ketoconazole","Ketoconazole"
"Ketoprofen","Ketoprofen"
"Ketorolac Tromethamine","Ketorolac"
"Labetalol Hydrochloride","Labetalol"
"Lactic Acid","Lactic Acid"
"Lactose","Lactose"
"Ethinyl Estradiol/Levonorgestrel","Ethinyl Estradiol;Levonorgestrel"
"Leucovorin Calcium","Leucovorin"
"Levobunolol Hydrochloride","Levobunolol"
"Levorphanol Tartrate","Levorphanol"
"Lidocaine","Lidocaine"
"Epinephrine/Lidocaine Hydrochloride","Epinephrine;Lidocaine"
"Lidocaine Hydrochloride","Lidocaine"
"Lidocaine/Prilocaine","Lidocaine;Prilocaine"
"Lincomycin Hydrochloride","Lincomycin"
"Lindane","Lindane"
"Liothyronine Sodium","Liothyronine"
"Lisinopril","Lisinoprilat"
"Hydrochlorothiazide/Lisinopril","Hydrochlorothiazide;Lisinoprilat"
"Lithium Carbonate","Lithium"
"Loperamide Hydrochloride","Loperamide"
"Loratadine","Loratadine"
"Lorazepam","Lorazepam"
"Lovastatin","Lovastatin"
"Loxapine Succinate","Loxapine"
"Mafenide Acetate","Mafenide"
"Malathion","Malathion"
"Mannitol","Mannitol"
"Mebendazole","Mebendazole"
"Meclizine Hydrochloride","Meclizine"
"Meclofenamate Sodium","Meclofenamate"
"Medroxyprogesterone Acetate","Medroxyprogesterone"
"Mefloquine Hydrochloride","Mefloquine"
"Mefenamic Acid","Mefenamic Acid"
"Megestrol Acetate","Megestrol"
"Meperidine Hydrochloride","Meperidine"
"Mepivacaine Hydrochloride","Mepivacaine"
"Meprobamate","Meprobamate"
"Mercaptopurine","Mercaptopurine"
"Mesalamine","Mesalamine"
"Metaxalone","Metaxalone"
"Methadone Hydrochloride","Methadone"
"Methamphetamine Hydrochloride","Methamphetamine"
"Methazolamide","Methazolamide"
"Methenamine Hippurate","Methenamine"
"Methimazole","Methimazole"
"Methocarbamol","Methocarbamol"
"Methotrexate Sodium","Methotrexate"
"Methscopolamine Bromide","Methscopolamine"
"Methyclothiazide","Methyclothiazide"
"Methyldopa","Methyldopa"
"Methylene Blue","Methylene Blue"
"Methylergonovine Maleate","Methylergonovine"
"Methylphenidate Hydrochloride","Methylphenidate"
"Methylprednisolone","Methylprednisolone"
"Methylprednisolone Acetate","Methylprednisolone"
"Methylprednisolone Sodium Succinate","Methylprednisolone"
"Methyltestosterone","Testosterone"
"Metoclopramide Hydrochloride","Metoclopramide"
"Metolazone","Metolazone"
"Hydrochlorothiazide/Metoprolol Tartrate","Hydrochlorothiazide;Metoprolol"
"Metoprolol Succinate","Metoprolol"
"Metoprolol Tartrate","Metoprolol"
"Metronidazole","Metronidazole"
"Mexiletine Hydrochloride","Mexiletine"
"Miconazole Nitrate","Miconazole"
"Midazolam Hydrochloride","Midazolam"
"Milrinone Lactate","Milrinone"
"Minocycline Hydrochloride","Minocycline"
"Minoxidil","Minoxidil"
"Misoprostol","Misoprostol"
"Mitomycin","Mitomycin"
"Mitotane","Mitotane"
"Mometasone Furoate","Mometasone"
"Morphine Sulfate","Morphine"
"Mupirocin","Mupirocin"
"Nabumetone","Nabumetone"
"Nafcillin Sodium","Nafcillin"
"Naftifine Hydrochloride","Naftifine"
"Nalbuphine Hydrochloride","Nalbuphine"
"Nadolol","Nadolol"
"Naloxone Hydrochloride","Naloxone"
"Naltrexone Hydrochloride","Naltrexone"
"Naphazoline Hydrochloride","Naphazoline"
"Naphazoline Hydrochloride/Pheniramine Maleate","Naphazoline;Pheniramine"
"Naproxen","Naproxen"
"Naproxen Sodium","Naproxen"
"Natamycin","Natamycin"
"Bacitracin Zinc/Neomycin/Polymyxin B Sulfate","Bacitracin;Neomycin;Polymyxin B"
"Bacitracin Zn/HC/Neomycin Sulf/Polymyxin B Sulf","Bacitracin;Hydrocortisone;Neomycin;Polymyxin B"
"Dexamethasone/Neomycin Sulfate/Polymyxin B Sulfate","Dexamethasone;Neomycin;Polymyxin B"
"HC/Neomycin Sulf/Polymyxin B Sulf","Hydrocortisone;Neomycin;Polymyxin B"
"Neomycin Sulfate/Polymyxin B Sulfate","Neomycin;Polymyxin B"
"Neomycin Sulfate","Neomycin"
"Neostigmine Methylsulfate","Neostigmine"
"Niacin","Niacin"
"Nicardipine Hydrochloride","Nicardipine"
"Nicotine","Nicotine"
"Nicotine Polacrilex","Nicotine"
"Nifedipine","Nifedipine"
"Nitrofurantoin","Nitrofurantoin"
"Nitrofurantoin, Macrocrystals","Nitrofurantoin"
"Nitroglycerin","Nitroglycerin"
"Nizatidine","Nizatidine"
"Norepinephrine Bitartrate","Norepinephrine"
"Norethindrone","Norethindrone"
"Norethindrone Acetate","Norethindrone"
"Ethinyl Estradiol/Norethindrone","Ethinyl Estradiol;Norethindrone"
"Nortriptyline Hydrochloride","Nortriptyline"
"Nystatin","Nystatin"
"Nystatin/Triamcinolone Acetonide","Nystatin;Triamcinolone"
"Octreotide Acetate","Octreotide"
"Ofloxacin","Ofloxacin"
"Olsalazine Sodium","Olsalazine"
"Omeprazole","Omeprazole"
"Ondansetron Hydrochloride","Ondansetron"
"Belladonna Alkaloids/Opium Alkaloids","Belladonna Alkaloids;Opium Alkaloids"
"Orphenadrine Citrate","Orphenadrine"
"Oxacillin Sodium","Oxacillin"
"Oxaprozin","Oxaprozin"
"Oxazepam","Oxazepam"
"Oxiconazole Nitrate","Oxiconazole"
"Oxybutynin Chloride","Oxybutynin"
"Oxycodone Hydrochloride","Oxycodone"
"Acetaminophen/Oxycodone Hydrochloride","Acetaminophen;Oxycodone"
"Paclitaxel","Paclitaxel"
"Paroxetine Hydrochloride","Paroxetine"
"Penicillin G Benzathine","Penicillin G"
"Penicillin V Potassium","Penicillin V"
"Pentamidine Isethionate","Pentamidine"
"Naloxone Hydrochloride/Pentazocine Hydrochloride","Naloxone;Pentazocine"
"Pentoxifylline","Pentoxifylline"
"Permethrin","Permethrin"
"Perphenazine","Perphenazine"
"Phenazopyridine Hydrochloride","Phenazopyridine"
"Phenelzine Sulfate","Phenelzine"
"Phenobarbital","Phenobarbital"
"Phenylephrine Hydrochloride","Phenylephrine"
"Phenytoin","Phenytoin"
"Phenytoin Sodium, Prompt","Phenytoin"
"Phytonadione","Phytonadione"
"Pilocarpine Hydrochloride","Pilocarpine"
"Pindolol","Pindolol"
"Piroxicam","Piroxicam"
"Podofilox","Podofilox"
"Polymyxin B Sulfate","Polymyxin B"
"Citric Acid/Potassium Citrate","Citric Acid;Potassium Citrate"
"Potassium Phosphate, Monobasic","Potassium Phosphate"
"Potassium Acetate","Potassium"
"Potassium Chloride","Potassium Chloride"
"Dextrose/Potassium Chloride/Sodium Chloride","Dextrose;Potassium Chloride;Sodium"
"Potassium Iodide","Potassium Iodide"
"Pravastatin Sodium","Pravastatin"
"Praziquantel","Praziquantel"
"Prazosin Hydrochloride","Prazosin"
"Prednisolone","Prednisolone"
"Prednisolone Acetate","Prednisolone"
"Prednisolone Sodium Phosphate","Prednisolone"
"Prednisone","Prednisone"
"Primaquine Phosphate","Primaquine"
"Primidone","Primidone"
"Probenecid","Probenecid"
"Colchicine/Probenecid","Colchicine;Probenecid"
"Procarbazine Hydrochloride","Procarbazine"
"Prochlorperazine","Prochlorperazine"
"Progesterone","Progesterone"
"DM Hydrobrom/Promethazine HCl","Dextromethorphan;Promethazine"
"Phenyleph HCl/Promethazine HCl","Phenylephrine;Promethazine"
"Promethazine Hydrochloride","Promethazine"
"Codeine Phosphate/Promethazine Hydrochloride","Codeine;Promethazine"
"Codeine Phos/Phenyleph HCl/Promethazine HCl","Codeine;Phenylephrine;Promethazine"
"Propafenone Hydrochloride","Propafenone"
"Propantheline Bromide","Propantheline"
"Proparacaine Hydrochloride","Proparacaine"
"Propofol","Propofol"
"Propranolol Hydrochloride","Propranolol"
"Propylthiouracil","Propylthiouracil"
"Protamine Sulfate","Protamine"
"Protriptyline Hydrochloride","Protriptyline"
"Pseudoephedrine Hydrochloride","Pseudoephedrine"
"Guaifenesin/Pseudoephedrine Hydrochloride","Guaifenesin;Pseudoephedrine"
"Pyrazinamide","Pyrazinamide"
"Pyridostigmine Bromide","Pyridostigmine"
"Pyrimethamine","Pyrimethamine"
"Quinapril Hydrochloride","Quinaprilat"
"Quinidine Gluconate","Quinidine"
"Rabies Immune Globulin","Rabies Immune Globulin"
"Ramipril","Ramiprilat"
"Ranitidine Hydrochloride","Ranitidine"
"Rho(D) Immune Globulin","Rhod Immune Globulin"
"Rifabutin","Rifabutin"
"Rifampin","Rifampin"
"Salicylic Acid","Salicylic Acid"
"Salsalate","Salicylate"
"Selegiline Hydrochloride","Selegiline"
"Selenium","Selenium"
"Selenium Sulfide","Selenium Sulfide"
"Sertraline Hydrochloride","Sertraline"
"Silver Sulfadiazine","Silver Sulfadiazine"
"Simvastatin","Simvastatin"
"Sincalide","Sincalide"
"Sodium Acetate","Sodium"
"Sodium Bicarbonate","Sodium"
"Sodium Chloride","Sodium"
"Citric Acid/Sodium Citrate","Citric Acid;Citrate"
"Sodium Fluoride","Fluoride"
"Sodium Phosphate","Phosphate"
"Sodium Polystyrene Sulfonate","Polystyrene Sulfonate"
"Prednisolone Sodium Phosphate/Sulfacetamide Sodium","Prednisolone;Sulfacetamide"
"Sulfacetamide Sodium","Sulfacetamide"
"Sotalol Hydrochloride","Sotalol"
"Spironolactone","Spironolactone"
"Hydrochlorothiazide/Spironolactone","Hydrochlorothiazide;Spironolactone"
"Stannous Fluoride","Stannous Fluoride"
"Water, Sterile","Water"
"Succinylcholine Chloride","Succinylcholine"
"Sucralfate","Sulfate"
"Sufentanil Citrate","Sufentanil"
"Ampicillin Sodium/Sulbactam Sodium","Ampicillin;Sulbactam"
"Sulfadiazine","Sulfadiazine"
"Sulfasalazine","Sulfasalazine"
"Sulfacetamide Sodium/Sulfur","Sulfacetamide;Sulfur"
"Sulindac","Sulindac"
"Sumatriptan Succinate","Sumatriptan"
"Tamoxifen Citrate","Tamoxifen"
"Temazepam","Temazepam"
"Terbinafine Hydrochloride","Terbinafine"
"Terbutaline Sulfate","Terbutaline"
"Terconazole","Terconazole"
"Testosterone","Testosterone"
"Testosterone Cypionate","Testosterone"
"Testosterone Enanthate","Testosterone"
"Tetracaine Hydrochloride","Tetracaine"
"Tetracycline Hydrochloride","Tetracycline"
"Theophylline","Theophylline"
"Thiamine","Thiamine"
"Thioguanine","Thioguanine"
"Thioridazine Hydrochloride","Thioridazine"
"Thiothixene","Thiothixene"
"Thrombin","Thrombin"
"Thyroid","Thyroid"
"Ticlopidine Hydrochloride","Ticlopidine"
"Timolol Maleate","Timolol"
"Tobramycin","Tobramycin"
"Tobramycin Sulfate","Tobramycin"
"Dexamethasone/Tobramycin","Dexamethasone;Tobramycin"
"Tranexamic Acid","Tranexamic Acid"
"Tranylcypromine Sulfate","Tranylcypromine"
"Trazodone Hydrochloride","Trazodone"
"Tretinoin","Tretinoin"
"Triamcinolone Acetonide","Triamcinolone"
"Triamterene","Triamterene"
"Hydrochlorothiazide/Triamterene","Hydrochlorothiazide;Triamterene"
"Triazolam","Triazolam"
"Trifluoperazine Hydrochloride","Trifluoperazine"
"Trifluridine","Trifluridine"
"Trihexyphenidyl Hydrochloride","Trihexyphenidyl"
"Trimethobenzamide Hydrochloride","Trimethobenzamide"
"Trimethoprim","Trimethoprim"
"Polymyxin B Sulfate/Trimethoprim Sulfate","Polymyxin B;Trimethoprim"
"Sulfamethoxazole/Trimethoprim","Sulfamethoxazole;Trimethoprim"
"Tropicamide","Tropicamide"
"Tuberculin","Tuberculin"
"Urea","Urea"
"Ursodiol","Ursodiol"
"Valproic Acid","Valproic Acid"
"Vancomycin Hydrochloride","Vancomycin"
"Verapamil Hydrochloride","Verapamil"
"Vecuronium Bromide","Vecuronium"
"Vinblastine Sulfate","Vinblastine"
"Vincristine Sulfate","Vincristine"
"Cyanocobalamin","Cyanocobalamin"
"Ascorbic Acid","Ascorbic Acid"
"Warfarin Sodium","Warfarin"
"Zidovudine","Zidovudine"
"Zinc Chloride","Zinc"
"Zinc Sulfate","Zinc"
"Zolpidem Tartrate","Zolpidem"
"Penicillin G Potassium","Penicillin G"
"Ephedrine Sulfate","Ephedrine"
"Felbamate","Felbamate"
"Interferon Beta-1B","Interferon Beta-1b"
"Piperacillin Sodium/Tazobactam Sodium","Piperacillin;Tazobactam"
"Bisoprolol Fumarate","Bisoprolol"
"Bisoprolol Fumarate/Hydrochlorothiazide","Bisoprolol;Hydrochlorothiazide"
"Hypromellose","Hypromellose"
"Haloperidol Lactate","Haloperidol"
"Diclofenac Potassium","Diclofenac"
"Prochlorperazine Edisylate","Prochlorperazine"
"Prochlorperazine Maleate","Prochlorperazine"
"Gabapentin","Gabapentin"
"Dornase Alfa","Dornase Alfa"
"Risperidone","Risperidone"
"Phenytoin Sodium, Extended","Phenytoin"
"Torsemide","Torsemide"
"Venlafaxine Hydrochloride","Venlafaxine"
"Gadodiamide","Gadolinium"
"Calcipotriene","Calcipotriene"
"Fluvastatin Sodium","Fluvastatin"
"Potassium Bicarbonate/Potassium Citrate","Potassium Bicarbonate;Potassium Citrate"
"Benazepril Hydrochloride/Hydrochlorothiazide","Benazepril;Hydrochlorothiazide"
"Acrivastine/Pseudoephedrine Hydrochloride","Acrivastine;Pseudoephedrine"
"Tacrolimus","Tacrolimus"
"Stavudine","Stavudine"
"Famciclovir","Famciclovir"
"Rocuronium Bromide","Rocuronium"
"Mesna","Mesna"
"Potassium Bicarbonate/Potassium Chloride","Potassium Bicarbonate;Potassium Chloride"
"Gentamicin Sulfate/Sodium Chloride","Gentamicin;Sodium"
"Dextrose/Heparin Sodium","Dextrose;Heparin"
"Dextrose/Magnesium Sulfate","Dextrose;Magnesium Sulfate"
"Dextrose/Vancomycin Hydrochloride","Dextrose;Vancomycin"
"Loratadine/Pseudoephedrine Sulfate","Loratadine;Pseudoephedrine"
"Doxycycline Calcium","Doxycycline"
"Doxycycline","Doxycycline"
"Heparin Sodium/Sodium Chloride","Heparin;Sodium"
"Bacitracin Zinc/Polymyxin B Sulfate","Bacitracin;Polymyxin B"
"Hydrocortisone/Iodoquinol","Hydrocortisone;Iodoquinol"
"Cyanocobalamin/Folic Acid/Iron Polysaccharide","Cyanocobalamin;Folic Acid;Iron Polysaccharide"
"Potassium Chloride/Sodium Chloride","Potassium Chloride;Sodium"
"Acetic Acid/Aluminum Acetate","Acetic Acid;Aluminum"
"Dextrose/Dopamine Hydrochloride","Dextrose;Dopamine"
"Dextrose/Nitroglycerin","Dextrose;Nitroglycerin"
"Dextrose/Dobutamine Hydrochloride","Dextrose;Dobutamine"
"Fluorometholone Acetate","Fluorometholone"
"Fluvoxamine Maleate","Fluvoxamine"
"Prilocaine Hydrochloride","Prilocaine"
"Methyl Salicylate","Methyl Salicylate"
